startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,prolific_pid,empstat
2023-02-05 15:17:48,2023-02-05 15:17:53,0,100,5,1,2023-02-05 15:17:54,R_3neJPDwSS5FRADv,*******,anonymous,EN,0590c44dee10ff5f99bd3bca8051fd81474e3349815d0419d9b66b168255346b,1
2023-02-05 14:47:08,2023-02-05 14:47:12,0,100,3,1,2023-02-05 14:47:12,R_2dBmMVnPnpBuZMM,*******,anonymous,EN,91a54d1d16078e5eaef3a6d0517a871273beda4100673fed8b68f90c2b4ff0ee,1
2023-02-12 21:57:52,2023-02-12 22:03:02,0,100,310,1,2023-02-12 22:03:02,R_1mg8OzJ3vWXyYp9,*******,anonymous,EN,80eb518b2c60462b111584793ffc8751839b7012c5a2523caa66863b6b7b71ac,1
2023-02-06 17:40:37,2023-02-06 17:40:41,0,100,4,1,2023-02-06 17:40:42,R_1Cr5xEqKZbQKmhd,*******,anonymous,EN,d740e91b0bfdcc9de2eaae04ca99a75a05f4474ec0c2a22e2b45a877286ee4bd,2
2023-02-05 14:56:49,2023-02-05 14:57:01,0,100,11,1,2023-02-05 14:57:01,R_qEdNxYLfdMNuBW1,*******,anonymous,EN,204b35f9398ad00faf3a221a925dbc8e02758fb6bc30e384d032e3d5f4ee7e94,1
2023-02-05 14:54:33,2023-02-05 14:54:42,0,100,9,1,2023-02-05 14:54:43,R_1rw94ErY7WcCUFr,*******,anonymous,EN,9210e357b9e238227aaa81017e16db7743b067e6163d6972ced547d23bce5f1c,1
2023-02-06 10:24:09,2023-02-06 10:24:13,0,100,4,1,2023-02-06 10:24:13,R_2ahjnCJHstcJbe0,*******,anonymous,EN,3bb43288e5849fc4ae41b47623966806365527ad67c3732817d99a3c63284d37,1
2023-02-05 18:50:51,2023-02-05 18:50:59,0,100,8,1,2023-02-05 18:51:00,R_bvE1p2ZAU0p1QOd,*******,anonymous,EN,a622a9f132337015bd3b835ec2d07739a9b3ae8d1b0c867808c2f32d03e1c408,3
2023-02-06 15:32:51,2023-02-06 15:32:57,0,100,5,1,2023-02-06 15:32:57,R_bxSIPydh4yXOaZP,*******,anonymous,EN,8b5177ed8917c390f3bd18088dd0cc21a6a50f1cfe2ff01c4affc2b88e46ff8e,1
2023-02-07 18:42:55,2023-02-07 18:43:08,0,100,12,1,2023-02-07 18:43:08,R_pbW8HYhG6bIDRx7,*******,anonymous,EN,5f010bcbfca5913d4fca62601f82fb83aac125c08009409df4462023748b3555,1
2023-02-05 16:59:33,2023-02-05 16:59:50,0,100,16,1,2023-02-05 16:59:50,R_1rvK34bPNo8Pu9D,*******,anonymous,EN,59e61151add9ab676ed42dfb47033d3c5d3d1b0da6fae564e7380c6a6541b5e3,1
